iter	RMSE
0	0.04511379231
1	0.04107516271
2	0.03756013152
3	0.03452972281
4	0.03193382938
5	0.02974720667
6	0.02786210435
7	0.02628410235
8	0.02495756625
9	0.02387328932
10	0.022962564
11	0.02220821748
12	0.02159399396
13	0.02108502905
14	0.02067358491
15	0.02034097386
16	0.02007269551
17	0.01984704343
18	0.01966891153
19	0.01952961971
20	0.01941396834
21	0.01932011446
22	0.01924398027
23	0.01918236107
24	0.01912189191
25	0.0190695662
26	0.01903604751
27	0.0190091624
28	0.01897926986
29	0.01895442458
30	0.01893559869
31	0.01892134433
32	0.01891009546
33	0.01889791334
34	0.0188844419
35	0.01887373721
36	0.01886783025
37	0.01885985249
38	0.01885508362
39	0.01885084806
40	0.01884541882
41	0.01884045747
42	0.01883618836
43	0.01882881798
44	0.01882591163
45	0.01882233724
46	0.01881842241
47	0.0188141497
48	0.01881189115
49	0.01880895682
50	0.01880700991
51	0.01880626215
52	0.01880329251
53	0.01880136823
54	0.01879849921
55	0.01879366339
56	0.01879254414
57	0.01879028069
58	0.01878785672
59	0.0187860207
60	0.01878169147
61	0.01877998742
62	0.01877798259
63	0.01877382232
64	0.01877176113
65	0.01876928248
66	0.01876753607
67	0.01876513437
68	0.01876199031
69	0.01876079178
70	0.01876011982
71	0.01875971367
72	0.01875613109
73	0.01875589187
74	0.01875442654
75	0.01875364201
76	0.01875253245
77	0.01875061838
78	0.01874980522
79	0.01874801586
80	0.01874655158
81	0.01874509856
82	0.01874411784
83	0.01874091571
84	0.01874067359
85	0.01874033364
86	0.0187401835
87	0.01873936729
88	0.0187385672
89	0.01873819788
90	0.01873802308
91	0.01873770462
92	0.01873731577
93	0.01873626919
94	0.0187336523
95	0.01873216649
96	0.01873195472
97	0.01873001772
98	0.01872973164
99	0.01872937641
100	0.01872722288
101	0.01872705094
102	0.018725318
103	0.01872499201
104	0.01872387076
105	0.0187224001
106	0.01872049749
107	0.01871992516
108	0.01871907323
109	0.0187183833
110	0.01871791378
111	0.01871666111
112	0.01871544265
113	0.01871514777
114	0.0187146826
115	0.01871415916
116	0.01871348365
117	0.01871261455
118	0.01871143672
119	0.01871094965
120	0.01871058648
121	0.01871004724
122	0.0187087443
123	0.01870811503
124	0.01870708269
125	0.01870583299
126	0.01870509399
127	0.01870435403
128	0.01870377139
129	0.01870292319
130	0.01870179275
131	0.01870082438
132	0.01870000564
133	0.01869909321
134	0.01869864664
135	0.0186978463
136	0.01869713065
